Lokacija,lang,long,atd
"BISTRIŠKA CESTA 48, 2319 POLJČANE",46.31401545,15.577764,0.0
"KOŽMANI 1, 5270 AJDOVŠČINA",45.8779467,13.9225264,0.0
"URANIČEVA ULICA 7, 1000 LJUBLJANA",46.0706783,14.4722454,0.0
"DRENIKOVA ULICA 35, 1000 LJUBLJANA",46.06669265,14.4933626,0.0
"RADOMELJSKA CESTA 18, 1241 KAMNIK",46.1982089,14.599716,0.0
"ZALOŠKA CESTA 159, 1000 LJUBLJANA",46.0565422,14.5587621,0.0
"BRANIK 27A, 5295 BRANIK",45.848003,13.8138764,0.0
"ŠOLSKA ULICA 14, 6320 PORTOROŽ - PORTOROSE",45.5060637,13.6060984,0.0
"TRŽAŠKA CESTA 67, 1000 LJUBLJANA",46.0426385,14.479188,0.0
"DVORSKI TRG 10, 4205 PREDDVOR",46.302202,14.4220578,0.0
"ZGORNJE HOČE 25, 2311 HOČE",46.4914197,15.6230802,0.0
"ŠMARJETA 5, 8220 ŠMARJEŠKE TOPLICE",45.8892003,15.2470922,0.0
"ZGORNJI BRNIK 63, 4207 CERKLJE NA GORENJSKEM",46.2442342,14.4832765,0.0
"DUNAJSKA CESTA 51, 1000 LJUBLJANA",46.0649459,14.5085915,0.0
"ZAPOTOK 155, 1292 IG",45.87695585,14.567947016298078,0.0
"IŽANSKA CESTA 408A, 1000 LJUBLJANA",46.002054400000006,14.515724228147397,0.0
"MESTINJE 41, 3241 PODPLAT",46.2444945,15.5737251,0.0
"NAD IZVIRI 6, 2204 MIKLAVŽ NA DRAVSKEM POLJU",46.5020137,15.704107020640889,0.0
"ULICA 11. NOVEMBRA 34, 8273 LESKOVEC PRI KRŠKEM",45.9370882,15.479076393231846,0.0
"VISOKO 77A, 4212 VISOKO",46.2690292,14.4260075,0.0
"USTJE 39A, 5270 AJDOVŠČINA",45.8702605,13.8921378,0.0
"KAMNO 42B, 5220 TOLMIN",46.2123009,13.6366035,0.0
"ZGORNJE STRANJE 56, 1242 STAHOVICA",46.2557133,14.6033575,0.0
"NICINA 12A, 2391 PREVALJE",46.5439674,14.91942815,0.0
"BRATOVŠEVA PLOŠČAD 18, 1000 LJUBLJANA",46.0891605,14.5104454,0.0
"ULICA EVE LOVŠE 19, 2000 MARIBOR",46.5369022,15.6408696,0.0
"KOLODVORSKA ULICA 33C, 2310 SLOVENSKA BISTRICA",46.38923805,15.582597682316164,0.0
"MARIBORSKA CESTA 128, 3000 CELJE",46.24456745,15.278205533300262,0.0
"CVETKA GOLARJA ULICA 6, 9240 LJUTOMER",46.52296015,16.196819403504,0.0
"GRIŽE 34A, 3302 GRIŽE",46.2312408,15.154100667771335,0.0
"KOROŠKA CESTA 54, 3320 VELENJE",46.3709669,15.0979769,0.0
"KANDIJSKA CESTA 51, 8000 NOVO MESTO",45.8004215,15.1724969,0.0
"ZASAVSKA CESTA 77, 4000 KRANJ",46.21757705,14.366388459662808,0.0
"ZBILJE 24A, 1215 MEDVODE",46.1545171,14.4045044,0.0
"PODPEČ 26, 1352 PRESERJE",45.970604050000006,14.41718416863998,0.0
"ŽITNA ULICA 15, 2000 MARIBOR",46.549674949999996,15.644285015435564,0.0
"ŠTEFANOV TRG 4, 8333 SEMIČ",45.65234365,15.180968611728153,0.0
"FRENKOVA CESTA 5A, 6276 POBEGI",45.5370999,13.7947931,0.0
"PREDOSLJE 135, 4000 KRANJ",46.2655928,14.3855234,0.0
"ŠENTILJSKA CESTA 71, 2000 MARIBOR",46.5895913,15.6635248,0.0
"NA VOVČNE 30, 1354 HORJUL",46.0198179,14.2945973,0.0
"MORSKO 26C, 5213 KANAL",46.075347,13.6343433,0.0
"RUČIGAJEVA CESTA 34, 4000 KRANJ",46.2405497,14.367564196516796,0.0
"ZADOBROVŠKA CESTA 67, 1260 LJUBLJANA - POLJE",46.068908,14.581005464975124,0.0
"BRILEJEVA ULICA 19, 1000 LJUBLJANA",46.0837747,14.4716432,0.0
"TITOVA CESTA 48, 2000 MARIBOR",46.5449408,15.648660775061526,0.0
"SLOVENSKA CESTA 39, 4207 CERKLJE NA GORENJSKEM",46.24907245,14.485824550849868,0.0
"ŠOLSKA CESTA 29, 8280 BRESTANICA",45.99997995,15.47486663516083,0.0
"MARKIŠAVSKA ULICA 2, 9000 MURSKA SOBOTA",46.6685231,16.1746342,0.0
"ŠPINDLERJEVA ULICA 27, 2250 PTUJ",46.4279439,15.8878633,0.0
"DOBLIČE 54, 8340 ČRNOMELJ",45.5586842,15.144002,0.0
"GREGORČIČEVA ULICA 4, 9000 MURSKA SOBOTA",46.65804595,16.16956805077662,0.0
"FLANDROVA ULICA 21, 1000 LJUBLJANA",46.08627095,14.463731232453823,0.0
"HLADNIKOVA ULICA 38, 4294 KRIŽE",46.3418435,14.3001356,0.0
"TREBUŠAKOVA ULICA 6, 2000 MARIBOR",46.5360196,15.65774254500376,0.0
"ANDRAŽ NAD POLZELO 87, 3313 POLZELA",46.3338159,15.0847401,0.0
"CIRKOVCE 47, 2326 CIRKOVCE",46.39473385,15.722738947741057,0.0
"ZBURE 36A, 8220 ŠMARJEŠKE TOPLICE",45.9026719,15.2485648,0.0
"LJUBLJANSKA CESTA 29, 1292 IG",45.9586954,14.5274708,0.0
"ROSTOHARJEVA ULICA 62A, 8270 KRŠKO",45.95059795,15.47631242971181,0.0
"CESTA 4. MAJA 43, 1380 CERKNICA",45.7932491,14.3637466,0.0
"VRAZOVA ULICA 5, 2270 ORMOŽ",46.4085759,16.1503146,0.0
"STRANJE 7B, 3241 PODPLAT",46.225514849999996,15.56418033847773,0.0
"CESTA NA KRKO 4, 1290 GROSUPLJE",45.9537432,14.6619044,0.0
"GROBLJE PRI PREKOPI 15, 8310 ŠENTJERNEJ",45.8529268,15.3624685,0.0
"CIRIL-METODOVA ULICA 4, 2000 MARIBOR",46.557189550000004,15.626280873213268,0.0
"SLOVENJA VAS 30, 2288 HAJDINA",46.4378994,15.8123012,0.0
"POD HRUŠEVCO 44A, 1360 VRHNIKA",45.9739821,14.2934926,0.0
"KAJUHOVA ULICA 32A, 1000 LJUBLJANA",46.0604713,14.539097066298373,0.0
"ORMOŠKA CESTA 69, 2250 PTUJ",46.4135594,15.894394599999998,0.0
"LOPATA 24H, 3000 CELJE",46.265713649999995,15.23280902515235,0.0
"IDRSKO 56, 5222 KOBARID",46.2335092,13.5897842,0.0
"LIPOVCI 138, 9231 BELTINCI",46.625744100000006,16.227235449036073,0.0
"ŽANOVA ULICA 3, 4000 KRANJ",46.24599025,14.363805274453389,0.0
"MLADINSKA ULICA 21, 2314 ZGORNJA POLSKAVA",46.4283721,15.6093233,0.0
"LJUBLJANSKA CESTA 123, 1230 DOMŽALE",46.1399153,14.5940993,0.0
"KOVAČEVA ULICA 13, 1380 CERKNICA",45.7958482,14.3582103,0.0
"GOMILSKO 17, 3303 GOMILSKO",46.246834750000005,15.04695075185517,0.0
"KLAVČIČEVA ULICA 1, 1241 KAMNIK",46.2121705,14.5988131,0.0
"DOLINSKA CESTA 1D, 6000 KOPER - CAPODISTRIA",45.5304835,13.7299953,0.0
"ZELJARSKA ULICA 3, 1000 LJUBLJANA",46.04231645,14.4974025,0.0
"BOGOJINA 163D, 9222 BOGOJINA",46.67863035,16.282173246957736,0.0
"ZAPUŽE 11, 4275 BEGUNJE NA GORENJSKEM",46.3751643,14.2039596,0.0
"BRNČIČEVA ULICA 5D, 1231 LJUBLJANA - ČRNUČE",46.0992769,14.5479256,0.0
"OBRTNA ULICA 13, 6310 IZOLA - ISOLA",45.5275242,13.667400569374502,0.0
"OBRTNIŠKA CESTA 1, 1420 TRBOVLJE",46.156355649999995,15.053194899999998,0.0
"CESTA PREKOMORSKIH BRIGAD 62A, 5290 ŠEMPETER PRI GORICI",45.9329445,13.6393909,0.0
