,Lokacija,lat,lon
141,"MELJSKA CESTA 1, 2000 MARIBOR",46.5609425,15.6565717
142,"CANKARJEVA ULICA 3, 6000 KOPER - CAPODISTRIA",45.54841615,13.731383912996645
143,"TRIGLAVSKA CESTA 15, 4264 BOHINJSKA BISTRICA",46.2723463,13.9550465
144,"CESTA KRIMSKEGA ODREDA 25, 1360 VRHNIKA",45.9643715,14.3032682
145,"PERIČEVA ULICA 27, 1000 LJUBLJANA",46.0664375,14.5113231
146,"TRŽAŠKA CESTA 150, 1370 LOGATEC",45.9158918,14.2132678
147,"KERSNIKOVA ULICA 4, 1000 LJUBLJANA",46.0556079,14.5039882
148,"POLJUBINJ 98, 5220 TOLMIN",46.1812976,13.7552363
149,"CESTA I 23, 3320 VELENJE",46.35912245,15.125369611689193
150,"HVALETINCI 15, 2255 VITOMARCI",46.5122376,15.945549
151,"ŠMARJEŠKA CESTA 63, 8000 NOVO MESTO",45.8150322,15.1772564
152,"KRKAVČE 23A, 6274 ŠMARJE",45.4649892,13.6933027
153,"BAZOVIŠKA CESTA 17, 6240 KOZINA",45.608466250000006,13.934048047048336
154,"TRG MATIJE GUBCA 3, 8270 KRŠKO",45.95761475,15.494711023437496
155,"SMOLENJA VAS 10A, 8000 NOVO MESTO",45.80909995,15.202429237106688
156,"PONIKVA 29A, 3232 PONIKVA",44.6420141,18.0751342
157,"BREZNI VRH 10A, 2363 PODVELKA",46.623266,15.329141
158,"PERZONALI 25, 2391 PREVALJE",46.5419822,14.9102336
159,"SLOVENSKA VAS 14, 8232 ŠENTRUPERT",45.9550127,15.0906926573747
160,"CESTA STANETA ŽAGARJA 73, 4000 KRANJ",46.2440675,14.375597557434736
161,"KAJUHOVA ULICA 32H, 1000 LJUBLJANA",46.0668534,14.5337912
162,"CESTA JAKA PLATIŠE 17, 4000 KRANJ",46.2404039,14.3713828
163,"CANKARJEVA ULICA 33, 6000 KOPER - CAPODISTRIA",45.548311,13.732198
164,"LITIJSKA CESTA 143, 1000 LJUBLJANA",46.0373311,14.6280511
165,"CELJSKA CESTA 55, 3240 ŠMARJE PRI JELŠAH",46.228643250000005,15.504226694781748
166,"SORA 21A, 1215 MEDVODE",46.1435982,14.3686878
167,"STUDENEC 11, 1260 LJUBLJANA - POLJE",46.05566265,14.570078068004737
168,"ULICA OKTOBRSKE REVOLUCIJE 10, 6310 IZOLA - ISOLA",45.53527155,13.660317849999997
169,"ULICA PADLIH BORCEV 31, 1000 LJUBLJANA",46.08485985,14.50944114695982
170,"LACKOVA CESTA 76, 2000 MARIBOR",46.5405598,15.6073827
171,"ULICA DR. ANTONA KOROŠCA 23, 9244 SVETI JURIJ OB ŠČAVNICI",46.5667471,16.024069238575734
172,"ŽIČKA CESTA 11, 3210 SLOVENSKE KONJICE",46.3348543,15.423451
173,"TRUBARJEVA ULICA 28, 3270 LAŠKO",46.1521688,15.2373778
174,"OBALA 107, 6320 PORTOROŽ - PORTOROSE",45.5052523,13.6025336
175,"CESTA 9. AVGUSTA 44, 1410 ZAGORJE OB SAVI",46.1400774,15.0056389
176,"DOLENČEVA POT 6, 4000 KRANJ",46.2702606,14.3486126
177,"INDUSTRIJSKA CESTA 2B, 6310 IZOLA - ISOLA",45.5375694,13.668870885974943
178,"LANCOVO 50C, 4240 RADOVLJICA",46.339474,14.1634898
179,"ZGORNJE HOČE 43C, 2311 HOČE",46.4880407,15.6223642
180,"OB PROGI 3, 3250 ROGAŠKA SLATINA",46.2434754,15.621132
181,"KOLODVORSKA ULICA 10, 9240 LJUTOMER",46.52793495,16.192823081726907
182,"ŠOLSKA ULICA 16B, 3330 MOZIRJE",46.3357708,14.9550545
183,"ULICA STANETA BOKALA 15, 4270 JESENICE",46.4420224,14.04087125
184,"KREKOV TRG 1, 1000 LJUBLJANA",46.050393,14.5107917
185,"BREZJE PRI GROSUPLJEM 85, 1290 GROSUPLJE",45.9571203,14.647663
186,"CESTA 4. JULIJA 74, 8270 KRŠKO",45.958805,15.4923015
187,"DOBROVELJSKA CESTA 5, 3214 ZREČE",46.3659665,15.3955153
188,"CESTA KOZJANSKEGA ODREDA 21, 3230 ŠENTJUR",46.2129443,15.401068369380235
189,"MARIBORSKA CESTA 84, 3000 CELJE",46.23921645,15.2744729
190,"UŽIŠKA ULICA 4, 2000 MARIBOR",46.5373664,15.599080742350896
191,"AŽBETOVA ULICA 2, 1000 LJUBLJANA",46.05084585,14.49081825
192,"VELIKA BUČNA VAS 3B, 8000 NOVO MESTO",45.8219191,15.1566182
193,"FINŽGARJEVA ULICA 16, 1215 MEDVODE",46.1454842,14.4034638
194,"HRUŠEVICA 1B, 6222 ŠTANJEL",45.8195819,13.8420198
195,"KOLODVORSKA POT 8, 5000 NOVA GORICA",45.9553232,13.6352838
196,"GASILSKA CESTA 39, 1290 GROSUPLJE",45.9548167,14.6652033
197,"DEVINSKA ULICA 1A, 1000 LJUBLJANA",46.0407556,14.4992077
198,"VESELOVO NABREŽJE 16, 1234 MENGEŠ",46.1715996,14.5735691
199,"PODLJUBELJ 272, 4290 TRŽIČ",46.4322996,14.2620498
200,"BAZOVIŠKA ULICA 6, 5000 NOVA GORICA",45.9561899,13.6402792
201,"KIDRIČEVA CESTA 57, 4220 ŠKOFJA LOKA",46.1671106,14.3138278
202,"TRŽAŠKA CESTA 7B, 1360 VRHNIKA",45.9641962,14.2968956
203,"ULICA 8. FEBRUARJA 71, 2204 MIKLAVŽ NA DRAVSKEM POLJU",46.460726050000005,15.711216040352255
204,"DONOVA CESTA 2, 1215 MEDVODE",46.14420845,14.411642369721676
205,"DUNAJSKA CESTA 162, 1000 LJUBLJANA",46.0842295,14.5141804
206,"SELO NAD POLHOVIM GRADCEM 3, 1355 POLHOV GRADEC",46.1022544,14.2918877
207,"ZGORNJE JEZERSKO 62, 4206 ZGORNJE JEZERSKO",46.3928211,14.495346
208,"ČRNIČE 1C, 5262 ČRNIČE",45.90345155,13.781663290356285
209,"BISTRIŠKA CESTA 48, 2319 POLJČANE",46.31401545,15.577764
210,"KOŽMANI 1, 5270 AJDOVŠČINA",45.8779467,13.9225264
211,"URANIČEVA ULICA 7, 1000 LJUBLJANA",46.0706783,14.4722454
212,"DRENIKOVA ULICA 35, 1000 LJUBLJANA",46.06669265,14.4933626
213,"RADOMELJSKA CESTA 18, 1241 KAMNIK",46.1982089,14.599716
214,"ZALOŠKA CESTA 159, 1000 LJUBLJANA",46.0565422,14.5587621
215,"BRANIK 27A, 5295 BRANIK",45.848003,13.8138764
216,"ŠOLSKA ULICA 14, 6320 PORTOROŽ - PORTOROSE",45.5060637,13.6060984
217,"TRŽAŠKA CESTA 67, 1000 LJUBLJANA",46.0426385,14.479188
218,"DVORSKI TRG 10, 4205 PREDDVOR",46.302202,14.4220578
219,"ZGORNJE HOČE 25, 2311 HOČE",46.4914197,15.6230802
220,"ŠMARJETA 5, 8220 ŠMARJEŠKE TOPLICE",45.8892003,15.2470922
221,"ZGORNJI BRNIK 63, 4207 CERKLJE NA GORENJSKEM",46.2442342,14.4832765
222,"DUNAJSKA CESTA 51, 1000 LJUBLJANA",46.0649459,14.5085915
223,"ZAPOTOK 155, 1292 IG",45.87695585,14.567947016298078
224,"IŽANSKA CESTA 408A, 1000 LJUBLJANA",46.002054400000006,14.515724228147397
225,"MESTINJE 41, 3241 PODPLAT",46.2444945,15.5737251
226,"NAD IZVIRI 6, 2204 MIKLAVŽ NA DRAVSKEM POLJU",46.5020137,15.704107020640889
227,"ULICA 11. NOVEMBRA 34, 8273 LESKOVEC PRI KRŠKEM",45.9370882,15.479076393231846
228,"VISOKO 77A, 4212 VISOKO",46.2690292,14.4260075
229,"USTJE 39A, 5270 AJDOVŠČINA",45.8702605,13.8921378
230,"KAMNO 42B, 5220 TOLMIN",46.2123009,13.6366035
231,"ZGORNJE STRANJE 56, 1242 STAHOVICA",46.2557133,14.6033575
232,"NICINA 12A, 2391 PREVALJE",46.5439674,14.91942815
233,"BRATOVŠEVA PLOŠČAD 18, 1000 LJUBLJANA",46.0891605,14.5104454
234,"ULICA EVE LOVŠE 19, 2000 MARIBOR",46.5369022,15.6408696
235,"KOLODVORSKA ULICA 33C, 2310 SLOVENSKA BISTRICA",46.38923805,15.582597682316164
236,"MARIBORSKA CESTA 128, 3000 CELJE",46.24456745,15.278205533300262
237,"CVETKA GOLARJA ULICA 6, 9240 LJUTOMER",46.52296015,16.196819403504
238,"GRIŽE 34A, 3302 GRIŽE",46.2312408,15.154100667771337
239,"KOROŠKA CESTA 54, 3320 VELENJE",46.3709669,15.0979769
240,"KANDIJSKA CESTA 51, 8000 NOVO MESTO",45.8004215,15.1724969
241,"ZASAVSKA CESTA 77, 4000 KRANJ",46.21757705,14.366388459662808
242,"ZBILJE 24A, 1215 MEDVODE",46.1545171,14.4045044
243,"PODPEČ 26, 1352 PRESERJE",45.970604050000006,14.41718416863998
244,"ŽITNA ULICA 15, 2000 MARIBOR",46.54967495,15.644285015435564
245,"ŠTEFANOV TRG 4, 8333 SEMIČ",45.65234365,15.180968611728153
246,"FRENKOVA CESTA 5A, 6276 POBEGI",45.5370999,13.7947931
247,"PREDOSLJE 135, 4000 KRANJ",46.2655928,14.3855234
248,"ŠENTILJSKA CESTA 71, 2000 MARIBOR",46.5895913,15.6635248
249,"NA VOVČNE 30, 1354 HORJUL",46.0198179,14.2945973
250,"MORSKO 26C, 5213 KANAL",46.075347,13.6343433
251,"RUČIGAJEVA CESTA 34, 4000 KRANJ",46.2405497,14.367564196516796
252,"ZADOBROVŠKA CESTA 67, 1260 LJUBLJANA - POLJE",46.068908,14.581005464975124
253,"BRILEJEVA ULICA 19, 1000 LJUBLJANA",46.0837747,14.4716432
254,"TITOVA CESTA 48, 2000 MARIBOR",46.5449408,15.648660775061526
255,"SLOVENSKA CESTA 39, 4207 CERKLJE NA GORENJSKEM",46.24907245,14.485824550849868
256,"ŠOLSKA CESTA 29, 8280 BRESTANICA",45.99997995,15.47486663516083
257,"MARKIŠAVSKA ULICA 2, 9000 MURSKA SOBOTA",46.6685231,16.1746342
258,"ŠPINDLERJEVA ULICA 27, 2250 PTUJ",46.4279439,15.8878633
259,"DOBLIČE 54, 8340 ČRNOMELJ",45.5586842,15.144002
260,"GREGORČIČEVA ULICA 4, 9000 MURSKA SOBOTA",46.65804595,16.16956805077662
261,"FLANDROVA ULICA 21, 1000 LJUBLJANA",46.08627095,14.463731232453824
262,"HLADNIKOVA ULICA 38, 4294 KRIŽE",46.3418435,14.3001356
263,"TREBUŠAKOVA ULICA 6, 2000 MARIBOR",46.5360196,15.65774254500376
264,"ANDRAŽ NAD POLZELO 87, 3313 POLZELA",46.3338159,15.0847401
